Model,Version,Dataset,SNR-in,SNR-out,SNR-Improvement,CER,CER_BF,CER_WF,recognizer
TRUMEA_HnA,v12,d0,-7.77,5.66,13.43,136.91%,146.15%,90.86%,whisper
TRUMEA_HnA,v11,d0,-7.77,6.27,14.04,95.00%,106.02%,102.45%,whisper
TRUMEA_HnA,v6,d0,-7.77,5.71,13.48,93.57%,89.99%,113.12%,whisper
MappingNet,default,d0,-7.77,6.62,14.4,121.44%,86.88%,89.89%,whisper
MappingNet,v3,d3,-7.7,6.4,14.1,124.25%,230.32%,111.94%,whisper
MappingNet,v4,d3,-7.7,6.2,13.9,107.40%,147.01%,123.79%,whisper
MappingNet,v3,t0,0.26,3.92,3.66,82.29%,83.61%,66.97%,whisper
MappingNet,v3,t5,-4.73,-0.75,3.98,128.18%,146.30%,166.31%,whisper
MappingNet,v3,t10,-9.67,-5.19,4.48,179.68%,302.60%,151.25%,whisper
MappingNet,v5,d4,-7.69,6.3,14,163.70%,241.34%,177.22%,whisper
-,-,t0_clean,-,-,t0_clean,1.73%,-,-,whisper
-,-,t0_clean_vad,-,-,t0_clean_vad,3.33%,-,-,whisper
-,-,t0_noisy,-,-,t0_noisy,284.70%,-,-,whisper
-,-,t0_noisy_vad,-,-,t0_noisy_vad,72.31%,-,-,whisper
-,-,t0_AEC,-,-,t0_AEC,71.58%,-,-,whisper
-,-,t0_AEC_vad,-,-,t0_AEC_vad,89.79%,-,-,whisper
-,-,t5_clean,-,-,t5_clean,1.48%,-,-,whisper
-,-,t5_clean_vad,-,-,t5_clean_vad,3.63%,-,-,whisper
-,-,t5_noisy,-,-,t5_noisy,440.13%,-,-,whisper
-,-,t5_noisy_vad,-,-,t5_noisy_vad,101.07%,-,-,whisper
-,-,t5_AEC,-,-,t5_AEC,98.30%,-,-,whisper
-,-,t5_AEC_vad,-,-,t5_AEC_vad,206.79%,-,-,whisper
-,-,t10_clean,-,-,t10_clean,1.89%,-,-,whisper
-,-,t10_clean_vad,-,-,t10_clean_vad,3.57%,-,-,whisper
-,-,t10_noisy,-,-,t10_noisy,481.89%,-,-,whisper
-,-,t10_noisy_vad,-,-,t10_noisy_vad,200.25%,-,-,whisper
-,-,t10_AEC,-,-,t10_AEC,276.77%,-,-,whisper
-,-,t10_AEC_vad,-,-,t10_AEC_vad,206.75%,-,-,whisper
-,-,t15_clean,-,-,t15_clean,1.72%,-,-,whisper
-,-,t15_clean_vad,-,-,t15_clean_vad,4.02%,-,-,whisper
-,-,t15_noisy,-,-,t15_noisy,293.98%,-,-,whisper
-,-,t15_noisy_vad,-,-,t15_noisy_vad,265.27%,-,-,whisper
-,-,t15_AEC,-,-,t15_AEC,345.48%,-,-,whisper
-,-,t15_AEC_vad,-,-,t15_AEC_vad,232.04%,-,-,whisper
-,-,t0_noisy,-,-,t0_noisy,47.74%,-,-,google
-,-,t0_AEC,-,-,t0_AEC,53.57%,-,-,google
-,-,t5_noisy,-,-,t5_noisy,74.95%,-,-,google
-,-,t5_AEC,-,-,t5_AEC,80.18%,-,-,google
-,-,t10_noisy,-,-,t10_noisy,97.37%,-,-,google
-,-,t10_AEC,-,-,t10_AEC,97.62%,-,-,google
-,-,t15_noisy,-,-,t15_noisy,99.82%,-,-,google
-,-,t15_AEC,-,-,t15_AEC,99.62%,-,-,google
MappingNet,v5,d4,-7.69,6.3,14,81.42%,79.03%,82.79%,google
-,-,t0_noisy,-,-,t0_noisy,214.92,-,-,ETRI
-,-,t0_AEC,-,-,t0_AEC,214.92,-,-,ETRI
-,-,t5_noisy,-,-,t5_noisy,214.92,-,-,ETRI
-,-,t5_AEC,-,-,t5_AEC,214.92,-,-,ETRI
-,-,t10_noisy,-,-,t10_noisy,214.92,-,-,ETRI
-,-,t10_AEC,-,-,t10_AEC,214.92,-,-,ETRI
-,-,t15_noisy,-,-,t15_noisy,214.92,-,-,ETRI
-,-,t15_AEC,-,-,t15_AEC,214.92,-,-,ETRI
-,-,t0_LAEC,-,-,t0_LAEC,49.22,-,-,google
-,-,t5_LAEC,-,-,t5_LAEC,nan,-,-,google
-,-,t10_LAEC,-,-,t10_LAEC,nan,-,-,google
-,-,t15_LAEC,-,-,t15_LAEC,nan,-,-,google
-,-,t0_LAEC,-,-,t0_LAEC,80.59,-,-,ETRI
-,-,t5_LAEC,-,-,t5_LAEC,nan,-,-,ETRI
-,-,t10_LAEC,-,-,t10_LAEC,nan,-,-,ETRI
-,-,t15_LAEC,-,-,t15_LAEC,nan,-,-,ETRI
-,-,t5_LAEC,-,-,t5_LAEC,nan,-,-,ETRI
-,-,t10_LAEC,-,-,t10_LAEC,nan,-,-,ETRI
-,-,t15_LAEC,-,-,t15_LAEC,nan,-,-,ETRI
-,-,t0_LAEC,-,-,t0_LAEC,49.22,-,-,google
-,-,t0_LAEC,-,-,t0_LAEC,80.59,-,-,ETRI
-,-,t5_LAEC,-,-,t5_LAEC,nan,-,-,ETRI
-,-,t10_LAEC,-,-,t10_LAEC,nan,-,-,ETRI
-,-,t15_LAEC,-,-,t15_LAEC,nan,-,-,ETRI
-,-,t0_LAEC,-,-,t0_LAEC,49.22,-,-,google
-,-,t5_LAEC,-,-,t5_LAEC,72.71,-,-,google
-,-,t10_LAEC,-,-,t10_LAEC,95.26,-,-,google
-,-,t15_LAEC,-,-,t15_LAEC,99.87,-,-,google
-,-,t5_LAEC,-,-,t5_LAEC,93.17,-,-,ETRI
-,-,t10_LAEC,-,-,t10_LAEC,98.96,-,-,ETRI
-,-,t15_LAEC,-,-,t15_LAEC,99.76,-,-,ETRI
-,-,t0_oracleWF,-,-,t0_oracleWF,nan,-,-,google
-,-,t5_oracleWF,-,-,t5_oracleWF,nan,-,-,google
-,-,t10_oracleWF,-,-,t10_oracleWF,nan,-,-,google
-,-,t15_oracleWF,-,-,t15_oracleWF,nan,-,-,google
-,-,t0_oracle_WF,-,-,t0_oracle_WF,nan,-,-,google
-,-,t5_oracle_WF,-,-,t5_oracle_WF,nan,-,-,google
-,-,t10_oracle_WF,-,-,t10_oracle_WF,nan,-,-,google
-,-,t15_oracle_WF,-,-,t15_oracle_WF,nan,-,-,google
-,-,t0_oracleWF,-,-,t0_oracleWF,nan,-,-,google
-,-,t5_oracleWF,-,-,t5_oracleWF,nan,-,-,google
-,-,t10_oracleWF,-,-,t10_oracleWF,nan,-,-,google
-,-,t15_oracleWF,-,-,t15_oracleWF,nan,-,-,google
